customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,city,city_tier
CUST00001,415,2,5092.73,2,2,4,8,Hibernating,Hyderabad,Tier 1
CUST00002,21,1,2028.28,5,1,2,8,New Customers,Nashik,Tier 2
CUST00003,627,2,1682.63,1,2,2,5,Lost,Ahmedabad,Tier 1
CUST00004,184,2,4395.15,4,3,4,11,Loyal Customers,Kolkata,Tier 1
CUST00005,7,1,367.53,5,1,1,7,New Customers,Delhi,Tier 1
CUST00006,20,3,2197.97,5,4,2,11,Loyal Customers,Delhi,Tier 1
CUST00007,373,2,1832.43,2,3,2,7,Hibernating,Mumbai,Tier 1
CUST00008,588,1,2514.99,1,1,2,4,Lost,Indore,Tier 2
CUST00009,50,6,13511.65,5,5,5,15,Champions,Kolkata,Tier 1
CUST00011,262,3,3580.8,3,4,3,10,Potential Loyalists,Mumbai,Tier 1
CUST00012,642,1,1477.5,1,1,2,4,Lost,Raipur,Tier 3
CUST00013,443,2,2236.5699999999997,2,3,2,7,Hibernating,Surat,Tier 2
CUST00014,32,1,2345.35,5,1,2,8,New Customers,Delhi,Tier 1
CUST00015,475,1,453.82,2,1,1,4,Lost,Delhi,Tier 1
CUST00016,28,1,1562.83,5,1,2,8,New Customers,Delhi,Tier 1
CUST00017,289,1,1943.57,3,1,2,6,Need Attention,Bengaluru,Tier 1
CUST00018,482,1,628.51,2,1,1,4,Lost,Chennai,Tier 1
CUST00019,648,1,2150.58,1,1,2,4,Lost,Hyderabad,Tier 1
CUST00021,577,1,430.25,1,1,1,3,Lost,Kolkata,Tier 1
CUST00022,111,1,1054.8,4,1,1,6,New Customers,Delhi,Tier 1
CUST00023,48,4,8057.46,5,5,5,15,Champions,Bengaluru,Tier 1
CUST00024,544,2,1871.6999999999998,1,3,2,6,Hibernating,Hyderabad,Tier 1
CUST00025,590,2,2055.6,1,3,2,6,Hibernating,Hyderabad,Tier 1
CUST00026,4,3,872.8,5,4,1,10,Loyal Customers,Jaipur,Tier 2
CUST00027,424,1,774.91,2,1,1,4,Lost,Delhi,Tier 1
CUST00028,131,4,5718.450000000001,4,5,4,13,Champions,Chennai,Tier 1
CUST00029,142,2,5082.25,4,3,4,11,Loyal Customers,Kolkata,Tier 1
CUST00030,25,3,4553.0,5,4,4,13,Champions,Mumbai,Tier 1
CUST00031,134,2,6546.39,4,3,4,11,Loyal Customers,Kolkata,Tier 1
CUST00032,97,4,7651.96,4,5,5,14,Champions,Delhi,Tier 1
CUST00033,149,4,3526.3900000000003,4,5,3,12,Loyal Customers,Mumbai,Tier 1
CUST00034,615,1,2741.61,1,1,3,5,Hibernating,Kanpur,Tier 2
CUST00035,507,4,8338.91,1,5,5,11,At Risk (High Value),Ranchi,Tier 3
CUST00036,437,1,2092.67,2,1,2,5,Lost,Lucknow,Tier 2
CUST00037,418,2,2178.47,2,3,2,7,Hibernating,Bengaluru,Tier 1
CUST00038,54,2,1502.7,5,3,2,10,Loyal Customers,Mumbai,Tier 1
CUST00039,461,3,7353.2,2,4,5,11,At Risk (High Value),Pune,Tier 1
CUST00040,470,1,187.74,2,1,1,4,Lost,Hyderabad,Tier 1
CUST00041,45,1,6304.8,5,1,4,10,New Customers,Mumbai,Tier 1
CUST00042,319,2,3839.4399999999996,3,3,3,9,Potential Loyalists,Chennai,Tier 1
CUST00043,238,3,4522.07,3,4,4,11,Potential Loyalists,Mumbai,Tier 1
CUST00044,60,2,2811.24,5,3,3,11,Loyal Customers,Visakhapatnam,Tier 2
CUST00045,590,1,2273.29,1,1,2,4,Lost,Bengaluru,Tier 1
CUST00046,266,2,1425.05,3,3,2,8,Potential Loyalists,Pune,Tier 1
CUST00048,517,1,204.39,1,1,1,3,Lost,Chennai,Tier 1
CUST00049,532,1,2354.24,1,1,2,4,Lost,Chennai,Tier 1
CUST00050,96,2,5415.27,4,3,4,11,Loyal Customers,Delhi,Tier 1
CUST00051,644,1,11705.61,1,1,5,7,Hibernating,Raipur,Tier 3
CUST00052,76,5,11097.4,5,5,5,15,Champions,Jaipur,Tier 2
CUST00053,454,3,12999.259999999998,2,4,5,11,At Risk (High Value),Kanpur,Tier 2
CUST00054,196,2,3099.5099999999998,4,3,3,10,Loyal Customers,Coimbatore,Tier 2
CUST00055,524,3,5295.0,1,4,4,9,At Risk (High Value),Kolkata,Tier 1
CUST00056,137,1,1955.66,4,1,2,7,New Customers,Patna,Tier 2
CUST00057,671,1,1625.62,1,1,2,4,Lost,Mumbai,Tier 1
CUST00058,531,2,881.65,1,3,1,5,Hibernating,Delhi,Tier 1
CUST00059,53,3,4939.97,5,4,4,13,Champions,Mumbai,Tier 1
CUST00061,69,2,5037.68,5,3,4,12,Loyal Customers,Hyderabad,Tier 1
CUST00062,28,1,1762.69,5,1,2,8,New Customers,Bengaluru,Tier 1
CUST00063,513,3,3098.1400000000003,1,4,3,8,Hibernating,Surat,Tier 2
CUST00064,629,2,6115.18,1,3,4,8,Hibernating,Bengaluru,Tier 1
CUST00065,562,3,22144.219999999998,1,4,5,10,At Risk (High Value),Bengaluru,Tier 1
CUST00066,586,1,477.14,1,1,1,3,Lost,Chennai,Tier 1
CUST00067,416,2,2240.91,2,3,2,7,Hibernating,Delhi,Tier 1
CUST00068,55,1,188.08,5,1,1,7,New Customers,Lucknow,Tier 2
CUST00069,14,2,2729.85,5,3,3,11,Loyal Customers,Mumbai,Tier 1
CUST00070,536,3,9006.050000000001,1,4,5,10,At Risk (High Value),Amritsar,Tier 3
CUST00071,92,1,2285.63,4,1,2,7,New Customers,Jaipur,Tier 2
CUST00072,71,3,6433.3099999999995,5,4,4,13,Champions,Delhi,Tier 1
CUST00073,9,3,4962.35,5,4,4,13,Champions,Mumbai,Tier 1
CUST00074,17,4,8251.72,5,5,5,15,Champions,Surat,Tier 2
CUST00075,119,1,2286.81,4,1,2,7,New Customers,Pune,Tier 1
CUST00076,79,3,3681.51,4,4,3,11,Loyal Customers,Ahmedabad,Tier 1
CUST00077,109,1,2988.47,4,1,3,8,New Customers,Jaipur,Tier 2
CUST00078,175,3,4809.08,4,4,4,12,Champions,Mumbai,Tier 1
CUST00079,13,1,597.49,5,1,1,7,New Customers,Bengaluru,Tier 1
CUST00080,207,4,6049.8,3,5,4,12,Potential Loyalists,Mumbai,Tier 1
CUST00081,534,1,1301.35,1,1,1,3,Lost,Indore,Tier 2
CUST00082,63,4,10912.68,5,5,5,15,Champions,Kolkata,Tier 1
CUST00083,326,5,17957.64,3,5,5,13,Potential Loyalists,Bengaluru,Tier 1
CUST00084,523,1,795.96,1,1,1,3,Lost,Mumbai,Tier 1
CUST00085,450,2,1443.08,2,3,2,7,Hibernating,Bengaluru,Tier 1
CUST00086,5,4,8237.17,5,5,5,15,Champions,Bengaluru,Tier 1
CUST00087,278,3,5999.7300000000005,3,4,4,11,Potential Loyalists,Ahmedabad,Tier 1
CUST00088,190,3,5187.65,4,4,4,12,Champions,Kolkata,Tier 1
CUST00089,88,2,4330.66,4,3,4,11,Loyal Customers,Bhopal,Tier 2
CUST00090,92,1,6306.99,4,1,4,9,New Customers,Chennai,Tier 1
CUST00091,464,1,650.0,2,1,1,4,Lost,Mumbai,Tier 1
CUST00093,462,2,3687.77,2,3,3,8,Hibernating,Ahmedabad,Tier 1
CUST00094,21,2,5901.64,5,3,4,12,Loyal Customers,Kolkata,Tier 1
CUST00095,7,1,1253.32,5,1,1,7,New Customers,Jaipur,Tier 2
CUST00096,75,1,2363.51,5,1,2,8,New Customers,Chennai,Tier 1
CUST00098,410,4,8616.86,2,5,5,12,At Risk (High Value),Hyderabad,Tier 1
CUST00099,33,3,4932.360000000001,5,4,4,13,Champions,Mumbai,Tier 1
CUST00100,253,2,4836.7,3,3,4,10,Potential Loyalists,Mumbai,Tier 1
CUST00101,12,4,8820.87,5,5,5,15,Champions,Mumbai,Tier 1
CUST00102,6,2,1719.92,5,3,2,10,Loyal Customers,Kolkata,Tier 1
CUST00103,648,2,4938.31,1,3,4,8,Hibernating,Bengaluru,Tier 1
CUST00104,281,7,33851.81,3,5,5,13,Potential Loyalists,Chennai,Tier 1
CUST00105,278,1,1874.45,3,1,2,6,Need Attention,Visakhapatnam,Tier 2
CUST00106,42,1,174.68,5,1,1,7,New Customers,Delhi,Tier 1
CUST00107,252,6,12813.98,3,5,5,13,Potential Loyalists,Hyderabad,Tier 1
CUST00108,443,1,2593.04,2,1,3,6,Hibernating,Ahmedabad,Tier 1
CUST00110,115,2,4680.99,4,3,4,11,Loyal Customers,Mumbai,Tier 1
CUST00111,233,1,1041.26,3,1,1,5,Need Attention,Bengaluru,Tier 1
CUST00112,29,3,3280.42,5,4,3,12,Loyal Customers,Delhi,Tier 1
CUST00113,604,1,872.58,1,1,1,3,Lost,Vadodara,Tier 2
CUST00114,317,2,2282.95,3,3,2,8,Potential Loyalists,Lucknow,Tier 2
CUST00115,449,3,3451.69,2,4,3,9,Hibernating,Kolkata,Tier 1
CUST00116,3,4,4469.0599999999995,5,5,4,14,Champions,Indore,Tier 2
CUST00117,305,1,1574.23,3,1,2,6,Need Attention,Lucknow,Tier 2
CUST00118,99,2,4998.35,4,3,4,11,Loyal Customers,Delhi,Tier 1
CUST00119,269,1,159.84,3,1,1,5,Need Attention,Coimbatore,Tier 2
CUST00120,38,2,1797.16,5,3,2,10,Loyal Customers,Chennai,Tier 1
CUST00121,317,2,2526.36,3,3,2,8,Potential Loyalists,Lucknow,Tier 2
CUST00122,381,1,1200.1,2,1,1,4,Lost,Coimbatore,Tier 2
CUST00123,558,2,1669.8200000000002,1,3,2,6,Hibernating,Bengaluru,Tier 1
CUST00124,121,2,4450.379999999999,4,3,4,11,Loyal Customers,Mumbai,Tier 1
CUST00125,198,4,9693.85,4,5,5,14,Champions,Delhi,Tier 1
CUST00126,320,1,138.94,3,1,1,5,Need Attention,Hyderabad,Tier 1
CUST00127,369,1,506.18,2,1,1,4,Lost,Surat,Tier 2
CUST00128,75,7,10546.05,5,5,5,15,Champions,Indore,Tier 2
CUST00129,360,1,1283.63,2,1,1,4,Lost,Mumbai,Tier 1
CUST00130,48,7,16658.48,5,5,5,15,Champions,Chennai,Tier 1
CUST00131,385,4,8233.6,2,5,5,12,At Risk (High Value),Hyderabad,Tier 1
CUST00132,229,5,6349.009999999999,3,5,4,12,Potential Loyalists,Delhi,Tier 1
CUST00133,102,1,837.71,4,1,1,6,New Customers,Mumbai,Tier 1
CUST00134,563,1,3101.23,1,1,3,5,Hibernating,Bengaluru,Tier 1
CUST00135,10,3,7911.360000000001,5,4,5,14,Champions,Kanpur,Tier 2
CUST00136,94,2,2186.83,4,3,2,9,Loyal Customers,Bengaluru,Tier 1
CUST00138,376,1,357.14,2,1,1,4,Lost,Pune,Tier 1
CUST00139,86,5,11183.25,4,5,5,14,Champions,Bengaluru,Tier 1
CUST00140,82,2,5747.76,4,3,4,11,Loyal Customers,Raipur,Tier 3
CUST00141,447,3,6373.74,2,4,4,10,At Risk (High Value),Guwahati,Tier 3
CUST00142,62,2,3882.24,5,3,3,11,Loyal Customers,Delhi,Tier 1
CUST00143,58,2,3271.6400000000003,5,3,3,11,Loyal Customers,Chennai,Tier 1
CUST00144,317,3,4680.47,3,4,4,11,Potential Loyalists,Bengaluru,Tier 1
CUST00145,106,1,905.19,4,1,1,6,New Customers,Bengaluru,Tier 1
CUST00146,128,2,8033.9400000000005,4,3,5,12,Loyal Customers,Mumbai,Tier 1
CUST00147,355,1,1367.46,2,1,2,5,Lost,Kolkata,Tier 1
CUST00148,402,2,2720.6499999999996,2,3,3,8,Hibernating,Chennai,Tier 1
CUST00149,596,1,1897.26,1,1,2,4,Lost,Mumbai,Tier 1
CUST00150,448,1,3002.68,2,1,3,6,Hibernating,Bengaluru,Tier 1
CUST00152,400,1,2211.03,2,1,2,5,Lost,Delhi,Tier 1
CUST00153,24,3,7527.56,5,4,5,14,Champions,Delhi,Tier 1
CUST00154,20,8,10843.39,5,5,5,15,Champions,Chennai,Tier 1
CUST00155,492,1,2674.01,1,1,3,5,Hibernating,Amritsar,Tier 3
CUST00156,63,4,5189.63,5,5,4,14,Champions,Delhi,Tier 1
CUST00157,313,3,4574.37,3,4,4,11,Potential Loyalists,Pune,Tier 1
CUST00158,392,1,861.07,2,1,1,4,Lost,Jaipur,Tier 2
CUST00160,578,2,3369.9,1,3,3,7,Hibernating,Ahmedabad,Tier 1
CUST00161,331,5,9063.24,3,5,5,13,Potential Loyalists,Hyderabad,Tier 1
CUST00162,195,3,7797.83,4,4,5,13,Champions,Kolkata,Tier 1
CUST00163,220,1,1063.11,3,1,1,5,Need Attention,Kolkata,Tier 1
CUST00164,638,1,1228.19,1,1,1,3,Lost,Chennai,Tier 1
CUST00165,76,2,2163.73,5,3,2,10,Loyal Customers,Mumbai,Tier 1
CUST00166,99,1,2114.35,4,1,2,7,New Customers,Nagpur,Tier 2
CUST00167,248,1,2953.89,3,1,3,7,Need Attention,Bengaluru,Tier 1
CUST00168,377,1,3537.97,2,1,3,6,Hibernating,Delhi,Tier 1
CUST00169,350,3,2535.09,2,4,2,8,Hibernating,Mumbai,Tier 1
CUST00170,175,4,5305.53,4,5,4,13,Champions,Kolkata,Tier 1
CUST00171,484,2,9581.189999999999,2,3,5,10,Hibernating,Pune,Tier 1
CUST00172,156,2,7979.79,4,3,5,12,Loyal Customers,Mumbai,Tier 1
CUST00173,379,2,1919.06,2,3,2,7,Hibernating,Chennai,Tier 1
CUST00174,60,1,2537.93,5,1,2,8,New Customers,Delhi,Tier 1
CUST00175,174,1,472.04,4,1,1,6,New Customers,Pune,Tier 1
CUST00176,584,4,6752.73,1,5,4,10,At Risk (High Value),Delhi,Tier 1
CUST00177,140,1,2210.74,4,1,2,7,New Customers,Pune,Tier 1
CUST00178,364,3,7117.39,2,4,5,11,At Risk (High Value),Hyderabad,Tier 1
CUST00180,131,2,3240.29,4,3,3,10,Loyal Customers,Delhi,Tier 1
CUST00182,428,7,16696.27,2,5,5,12,At Risk (High Value),Mumbai,Tier 1
CUST00183,365,2,1971.6999999999998,2,3,2,7,Hibernating,Patna,Tier 2
CUST00184,213,2,1560.8700000000001,3,3,2,8,Potential Loyalists,Bhopal,Tier 2
CUST00186,121,2,2923.91,4,3,3,10,Loyal Customers,Pune,Tier 1
CUST00188,525,1,1399.29,1,1,2,4,Lost,Chennai,Tier 1
CUST00189,296,1,1758.92,3,1,2,6,Need Attention,Chennai,Tier 1
CUST00190,60,1,2573.21,5,1,2,8,New Customers,Delhi,Tier 1
CUST00191,273,4,5495.76,3,5,4,12,Potential Loyalists,Mumbai,Tier 1
CUST00192,160,3,10497.68,4,4,5,13,Champions,Coimbatore,Tier 2
CUST00193,486,3,9371.95,2,4,5,11,At Risk (High Value),Coimbatore,Tier 2
CUST00194,570,2,2697.55,1,3,3,7,Hibernating,Kolkata,Tier 1
CUST00195,25,1,1816.29,5,1,2,8,New Customers,Bengaluru,Tier 1
CUST00196,165,3,5032.27,4,4,4,12,Champions,Bengaluru,Tier 1
CUST00198,41,1,744.41,5,1,1,7,New Customers,Coimbatore,Tier 2
CUST00199,292,1,494.62,3,1,1,5,Need Attention,Bhopal,Tier 2
CUST00201,135,2,2222.19,4,3,2,9,Loyal Customers,Pune,Tier 1
CUST00202,174,1,744.65,4,1,1,6,New Customers,Mumbai,Tier 1
CUST00203,254,5,7356.179999999999,3,5,5,13,Potential Loyalists,Delhi,Tier 1
CUST00204,629,2,2835.79,1,3,3,7,Hibernating,Coimbatore,Tier 2
CUST00206,576,1,2648.26,1,1,3,5,Hibernating,Mumbai,Tier 1
CUST00207,608,1,1010.65,1,1,1,3,Lost,Mumbai,Tier 1
CUST00209,312,3,9030.779999999999,3,4,5,12,Potential Loyalists,Mumbai,Tier 1
CUST00211,7,4,7967.150000000001,5,5,5,15,Champions,Chennai,Tier 1
CUST00212,477,1,2282.92,2,1,2,5,Lost,Pune,Tier 1
CUST00214,355,3,5793.950000000001,2,4,4,10,At Risk (High Value),Delhi,Tier 1
CUST00215,196,2,5984.02,4,3,4,11,Loyal Customers,Ahmedabad,Tier 1
CUST00216,139,1,1434.08,4,1,2,7,New Customers,Delhi,Tier 1
